FID,CLASS,COMID,REACHCODE,GNIS_ID,GNIS_NAME
24867,3,2782291,1.80202E+13,221883,Crystal Creek
24868,7,7991869,1.80201E+13,0, 
24869,3,14992127,1.80201E+13,267066,North Fork American River
24870,3,8026432,1.80201E+13,258574,Cold Stream
24871,3,8058459,1.80201E+13,264249,North Yuba River
24872,3,8037975,1.80201E+13,266922,Little North Fork of Middle Fork Feather River
24873,3,7927573,1.802E+13,0, 
24874,4,948020594,1.80201E+13,0, 
24875,3,8029402,1.80201E+13,267166,Red Clover Creek
24876,4,2855355,1.80201E+13,0, 
24877,3,14992703,1.80201E+13,0, 
24878,3,948021035,1.80201E+13,0, 
24879,3,14991759,1.80201E+13,258114,Cedar Creek
24880,6,2847265,1.80201E+13,233946,Grapevine Creek
24881,3,8025154,1.80201E+13,269267,Wolf Creek
24882,3,8039123,1.80201E+13,263528,Middle Fork Feather River
24883,3,8036997,1.80201E+13,258710,Coquette Creek
24884,3,14982586,1.80201E+13,1654958,South Fork American River
24885,7,12074610,1.80201E+13,0, 
24886,3,2773716,1.80201E+13,264163,North Fork Feather River
24887,6,8006057,1.80201E+13,0, 
24888,3,7961511,1.802E+13,268434,Trout Creek
24889,4,4296861,1.80202E+13,0, 
24890,3,7981774,1.80201E+13,0, 
24891,3,8058311,1.80201E+13,0, 
24892,3,948020648,1.802E+13,0, 
24893,4,2848413,1.80201E+13,228028,Manor Slough
24894,3,7965489,1.802E+13,1654949,Sacramento River
24895,7,8005573,1.80201E+13,0, 
24896,5,12068848,1.80202E+13,1654949,Sacramento River
24897,3,2764514,1.80202E+13,267425,South Fork Bear Creek
24898,3,2766264,1.80202E+13,234966,South Fork Battle Creek
24899,3,7961669,1.802E+13,256878,Big Basin Creek
24900,3,2766668,1.80202E+13,257948,Canyon Creek
24901,2,948021146,1.80201E+13,0, 
24902,4,2855553,1.80201E+13,229902,Oat Creek
24903,4,2849733,1.80201E+13,233914,Funks Creek
24904,6,12068224,1.80202E+13,265253,Red Bank Creek
24905,3,14981790,1.80201E+13,233228,Slab Creek
24906,3,7952108,1.802E+13,220202,Burney Creek
24907,4,15070738,1.80201E+13,0, 
24908,3,8057781,1.80201E+13,233633,Canyon Creek
24909,5,2782765,1.80202E+13,1654949,Sacramento River
24910,3,7995083,1.80201E+13,0, 
24911,3,14997529,1.80201E+13,265647,Rubicon River
24912,3,8026956,1.80201E+13,225664,Hosselkus Creek
24913,4,2848905,1.80201E+13,232494,Sand Creek
24914,3,8029418,1.80201E+13,0, 
24915,2,14994435,1.80201E+13,267066,North Fork American River
24916,4,2846781,1.80201E+13,234183,Logan Creek
24917,6,7991853,1.80201E+13,257464,Briscoe Creek
24918,3,8027954,1.80201E+13,261562,Hough Creek
24919,3,8039963,1.80201E+13,269159,Willow Creek
24920,3,7948062,1.802E+13,262239,Kosk Creek
24921,3,8026528,1.80201E+13,0, 
24922,3,7963511,1.802E+13,266985,McCloud River
24923,3,7949006,1.802E+13,0, 
24924,6,8005717,1.80201E+13,234369,North Fork Cache Creek
24925,7,2847139,1.80201E+13,0, 
24926,3,7991277,1.80201E+13,266780,Grindstone Creek
24927,6,8004499,1.80201E+13,0, 
24928,4,7990545,1.80201E+13,0, 
24929,3,7925227,1.802E+13,0, 
24930,3,948020299,1.80201E+13,263528,Middle Fork Feather River
24931,3,7961579,1.802E+13,263376,McKay Creek
24932,3,15014847,1.80201E+13,267715,Steephollow Creek
24933,3,7982964,1.80201E+13,0, 
24934,4,7947276,1.802E+13,237484,West Fork Squaw Creek
24935,3,8038953,1.80201E+13,0, 
24936,7,7994451,1.80201E+13,233801,Dry Creek
24937,3,7923887,1.802E+13,236250,Thoms Creek
24938,3,948020282,1.80201E+13,261733,Indian Creek
24939,4,2847521,1.80201E+13,233914,Funks Creek
24940,3,7947678,1.802E+13,0, 
24941,2,8038101,1.80201E+13,0, 
24942,4,15069242,1.80201E+13,0, 
24943,3,7948864,1.802E+13,0, 
24944,6,2801167,1.80202E+13,268849,Wells Creek
24945,4,7948418,1.802E+13,258147,Cedar Salt Log Creek
24946,6,12074662,1.80201E+13,0, 
24947,4,7991811,1.80201E+13,0, 
24948,4,7965621,1.802E+13,267205,Salt Creek
24949,3,8040265,1.80201E+13,267893,Sulphur Creek
24950,3,8058555,1.80201E+13,261179,Haypress Creek
24951,7,2849955,1.80201E+13,0, 
24952,3,7994677,1.80201E+13,267782,Stony Creek
24953,4,2857919,1.80201E+13,0, 
24954,6,8006357,1.80201E+13,269265,Wolf Creek
24955,3,7948414,1.802E+13,260032,Fall River
24956,5,2495232,1.80202E+13,1654949,Sacramento River
24957,3,14992117,1.80201E+13,263517,Middle Fork American River
24958,3,8040831,1.80201E+13,221346,Cold Stream
24959,3,7964851,1.802E+13,267499,South Fork Sacramento River
24960,3,2800567,1.80202E+13,267426,South Fork Beegum Creek
24961,3,8029718,1.80201E+13,260872,Greenhorn Creek
24962,3,7990655,1.80201E+13,265939,Scott Creek
24963,4,7947290,1.802E+13,267621,Squaw Creek
24964,3,2775174,1.80201E+13,253258,Frying Pan Creek
24965,3,7946808,1.802E+13,0, 
24966,4,15022515,1.80201E+13,218341,Arcade Creek
24967,4,8061131,1.80201E+13,227252,Little Dry Creek
24968,3,8063831,1.80201E+13,267540,South Yuba River
24969,3,14991647,1.80201E+13,264130,North Fork North Fork American River
24970,3,8058081,1.80201E+13,264249,North Yuba River
24971,4,7962261,1.802E+13,258228,Chatterdown Creek
24972,2,2858209,1.80201E+13,1654949,Sacramento River
24973,6,7962733,1.802E+13,0, 
24974,3,8026572,1.80201E+13,227088,Lights Creek
24975,4,7950770,1.802E+13,222899,East Fork Squaw Creek
24976,2,7981748,1.80201E+13,238295,Yuba River
24977,4,7991419,1.80201E+13,0, 
24978,2,2775892,1.80201E+13,264163,North Fork Feather River
24979,3,7925803,1.802E+13,259800,Egg Lake Slough
24980,3,8058683,1.80201E+13,0, 
24981,3,8036999,1.80201E+13,263528,Middle Fork Feather River
24982,4,2849747,1.80201E+13,235514,Stone Corral Creek
24983,3,8063401,1.80201E+13,264387,Oregon Creek
24984,3,8058009,1.80201E+13,0, 
24985,3,8064107,1.80201E+13,265202,Rattlesnake Creek
24986,3,7994691,1.80201E+13,267782,Stony Creek
24987,3,14992405,1.80201E+13,0, 
24988,4,7966167,1.802E+13,266397,Big Backbone Creek Inlet
24989,6,14993201,1.80201E+13,266618,Dardanelles Creek
24990,3,8063573,1.80201E+13,267433,South Fork Canyon Creek
24991,3,15022299,1.80201E+13,253692,Dry Creek
24992,2,7981880,1.80201E+13,238295,Yuba River
24993,3,2774264,1.80201E+13,0, 
24994,3,8040669,1.80201E+13,0, 
24995,3,8029286,1.80201E+13,267411,South Branch Ward Creek
24996,3,14997397,1.80201E+13,230656,Pilot Creek
