OBJECTID,HUC_12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,cubic_feet,cfs_mainstem
118,180101051102,118,1786,130199400.000000000000000,0.000000000000000,202.250000000000000,202.250000000000000,23.700884653499386,51.905189745932468,42329.779991149902000,194630328367.151820000000000,72666.639922025090000
119,180101020401,119,1815,132313500.000000000000000,0.000000000000000,370.179992675781250,370.179992675781250,191.834655484943030,108.033842902230650,348179.899705171590000,1626909423782.348400000000000,607418.392989228710000
120,180101050802,120,1500,109350000.000000000000000,0.000000000000000,204.149993896484370,204.149993896484370,21.971206633515656,28.047610939605654,32956.809950273484000,127268075291.973480000000000,47516.455828842969000
121,180101020602,121,1719,125315100.000000000000000,0.000000000000000,211.080001831054690,211.080001831054690,53.871832470393862,54.455368553190389,92605.680016607046000,409823210714.035710000000000,153010.458002552270000
122,180101020601,122,726,52925400.000000000000000,0.000000000000000,138.639999389648440,138.639999389648440,33.468787847194541,39.356651816225565,24298.339977063239000,45414681691.189285000000000,16955.899675623245000
123,180101020406,123,1831,133479900.000000000000000,0.000000000000000,346.829986572265620,346.829986572265620,55.603058416588645,79.203567895336846,101809.199960773810000,479908473976.396060000000000,179177.297631569590000
124,180101020404,124,582,42427800.000000000000000,0.000000000000000,165.199996948242190,165.199996948242190,22.910240613961037,36.685378694907470,13333.760037325323000,19978306390.070992000000000,7459.045097846102200
125,180101020102,125,1268,92437200.000000000000000,0.000000000000000,146.089996337890620,146.089996337890620,5.233880139182230,20.641082101185756,6636.560016483068500,21664333337.990070000000000,8088.535445784834300
126,180101020407,126,638,46510200.000000000000000,0.000000000000000,32.139999389648438,32.139999389648438,0.228228838092481,2.431485168575914,145.609998703002930,239163514.254553880000000,89.293426767679961
127,180101020405,127,1725,125752500.000000000000000,0.000000000000000,159.440002441406250,159.440002441406250,6.926156539245360,22.044119048703685,11947.620030198246000,53058326914.408081000000000,19809.709869477338000
128,180101020502,128,1589,115838100.000000000000000,0.000000000000000,109.580001831054690,109.580001831054690,6.332108241017695,16.459571125879332,10061.719994977117000,41160360900.086700000000000,15367.518257200829000
129,180101020103,129,1587,115692300.000000000000000,0.000000000000000,146.929992675781250,146.929992675781250,2.951424062777857,13.155824584559921,4683.909987628459900,19136764694.094383000000000,7144.849422824969200
130,180101020104,130,2175,158557500.000000000000000,0.000000000000000,117.319999694824220,117.319999694824220,3.344763218356275,13.260580501996953,7274.859999924898100,40734927798.796906000000000,15208.679733720466000
131,180101020106,131,1460,106434000.000000000000000,0.000000000000000,13.899999618530273,13.899999618530273,0.182719176926025,1.411138340043972,266.769998311996460,1002704332.362571100000000,374.366910230947610
132,180101040203,132,1129,82304100.000000000000000,31.409999847412109,355.149993896484370,323.739994049072270,220.693649315644000,62.214984523316353,249163.130077362060000,724203750312.728270000000000,270386.704865863200000
133,180101040204,133,828,60361200.000000000000000,14.859999656677246,342.010009765625000,327.150010108947750,131.143478099850650,99.323043490782354,108586.799866676330000,231467713021.466280000000000,86420.143750547344000
134,180101040201,134,766,55841400.000000000000000,46.610000610351563,236.960006713867190,190.350006103515620,143.997206371695820,39.554361368617641,110301.860080718990000,217517726551.010410000000000,81211.815468567060000
135,180101050106,135,888,64735200.000000000000000,34.939998626708984,349.429992675781250,314.489994049072270,116.289729891596610,95.767806645551204,103265.280143737790000,236075187288.458530000000000,88140.377571855963000
136,180101020201,136,1615,117733500.000000000000000,0.000000000000000,379.119995117187500,379.119995117187500,140.855672198012710,115.662810037641710,227481.910599790510000,945806824662.864990000000000,353123.814464928700000
137,180101040202,137,1214,88500600.000000000000000,34.790000915527344,265.679992675781250,230.889991760253910,193.238649035207120,41.969683408500138,234591.719928741460000,733186425463.151730000000000,273740.451561810040000
138,180101040206,138,1152,83980800.000000000000000,4.989999771118164,354.230010986328120,349.240011215209960,122.420581514222760,81.004647791822634,141028.509904384610000,418256256285.752930000000000,156158.996522458560000
139,180101030506,139,655,47749500.000000000000000,0.000000000000000,245.619995117187500,245.619995117187500,51.691083994803535,73.991380695362253,33857.660016596317000,57092792983.928375000000000,21316.006938443996000
140,180101020605,140,1660,121014000.000000000000000,0.000000000000000,130.240005493164060,130.240005493164060,1.743566258197807,13.009492317581985,2894.319988608360300,12369088062.896049000000000,4618.088434474312600
