OBJECTID,HUC_8,HUC_10,HUC_12,ACRES,NCONTRB_A,HU_10_GNIS,HU_12_GNIS,HU_10_DS,HU_10_NAME,HU_10_MOD,HU_10_TYPE,HU_12_DS,HU_12_NAME,HU_12_MOD,HU_12_TYPE,META_ID,STATES,CVA_NAME,Shape_Length,Shape_Area
4494,18010102,1801010201,180101020102,22821,0,,,1801010205,Redwood Creek,NM,S,180101020103,Minor Creek-Redwood Creek,NM,S,CA08,CA,,43803.63027,92353757.94
4495,18010102,1801010204,180101020407,11471,0,,,1801010205,Lower Mad River,NM,S,180101020408,Lindsay Creek,LE,S,CA08,CA,,35649.68355,46422518.39
4496,18010102,1801010204,180101020405,31107,0,,,1801010205,Lower Mad River,NM,S,180101020406,North Fork Mad River,LE,S,CA08,CA,,55334.8461,125887577.2
4511,18010102,1801010205,180101020502,28661,0,,,OCEAN,Big Lagoon-Frontal Pacific Ocean,NM,F,180101020503,Little River,NM,S,CA08,CA,,62751.37361,115987847
4514,18010102,1801010201,180101020103,28625,0,,,1801010205,Redwood Creek,NM,S,180101020104,Lacks Creek-Redwood Creek,NM,S,CA08,CA,,47933.06023,115841591.8
4529,18010102,1801010201,180101020104,39123,0,,,1801010205,Redwood Creek,NM,S,180101020106,Bridge Creek-Redwood Creek,NM,S,CA08,CA,,57033.44563,158327122.7
4567,18010102,1801010201,180101020106,26258,0,,,1801010205,Redwood Creek,NM,S,180101020503,McArthur Creek-Redwood Creek,TF,S,CA08,CA,,52540.89713,106264771.7
4659,18010104,1801010402,180101040203,20410,0,,,1801010405,Upper Middle Fork Eel River,NM,S,180101040204,North Fork Middle Fork Eel River,NM,S,CA01,CA,,44459.59652,82596991.09
4663,18010104,1801010402,180101040204,14880,0,,,1801010405,Upper Middle Fork Eel River,NM,S,180101040206,Red Chert Creek-Middle Fork Eel River,NM,S,CA07,CA,,38403.15908,60216387.12
5157,18010104,1801010402,180101040201,13755,0,,,1801010405,Upper Middle Fork Eel River,NM,S,180101040204,Balm of Gilead Creek,NM,S,CA01,CA,,35219.68521,55664667.38
5179,18010105,1801010501,180101050106,15938,0,,,1801010504,North Fork Eel River,NM,S,180101050107,Casoose Creek,NM,S,CA01,CA,,37909.29203,64498056.92
5221,18010102,1801010202,180101020201,29003,0,,,1801010203,Upper Mad River,NM,S,180101020202,Lost Creek-Mad River,NM,S,CA01,CA,,51838.92934,117371988.8
5281,18010104,1801010402,180101040202,21871,0,,,1801010405,Upper Middle Fork Eel River,NM,S,180101040204,Cutfinger Creek-Middle Fork Eel River,NM,S,CA01,CA,,43757.37981,88509911.23
5286,18010104,1801010402,180101040206,20825,0,,,1801010405,Upper Middle Fork Eel River,NM,S,180101040207,Hammerhorn Creek-Middle Fork Eel River,NM,S,CA01,CA,,46828.71499,84277296.64
5692,18010103,1801010305,180101030506,11709,0,,,1801010502,Bucknell Creek-Eel River,NM,S,180101050202,Division Creek-Eel River,NM,S,CA07,CA,,31969.34961,47385806.16
5709,18010102,1801010206,180101020605,47706,0,,,OCEAN,Humboldt Bay-Frontal Pacific Ocean,NM,F,OCEAN,Humboldt Bay,LE,S,CA08,CA,,104025.4826,193060346.2
