full_date,Discharge_CFS
2010-04-14,1010
2010-04-14,1010
2010-04-14,1010
2010-04-14,1010
2010-04-14,1010
2010-04-14,1010
2010-04-14,1010
2010-04-14,1010
2010-04-14,1000
2010-04-14,1000
2010-04-14,1000
2010-04-14,1000
2010-04-14,1000
2010-04-14,1000
2010-04-14,1000
2010-04-14,995
2010-04-14,995
2010-04-14,995
2010-04-14,995
2010-04-14,987
2010-04-14,987
2010-04-14,987
2010-04-14,987
2010-04-14,987
2010-04-14,979
2010-04-14,979
2010-04-14,979
2010-04-14,979
2010-04-14,970
2010-04-14,970
2010-04-14,970
2010-04-14,970
2010-04-14,962
2010-04-14,962
2010-04-14,962
2010-04-14,962
2010-04-14,954
2010-04-14,954
2010-04-14,954
2010-04-14,954
2010-04-14,946
2010-04-14,946
2010-04-14,946
2010-04-14,946
2010-04-14,938
2010-04-14,938
2010-04-14,938
2010-04-14,938
2010-04-14,930
2010-04-14,930
2010-04-14,930
2010-04-14,922
2010-04-14,922
2010-04-14,922
2010-04-14,922
2010-04-15,922
2010-04-15,914
2010-04-15,914
2010-04-15,914
2010-04-15,914
2010-04-15,914
2010-04-15,906
2010-04-15,906
2010-04-15,906
2010-04-15,906
2010-04-15,906
2010-04-15,898
2010-04-15,898
2010-04-15,898
2010-04-15,898
2010-04-15,898
2010-04-15,890
2010-04-15,890
2010-04-15,890
2010-04-15,890
2010-04-15,882
2010-04-15,882
2010-04-15,882
2010-04-15,882
2010-04-15,882
2010-04-15,882
2010-04-15,882
2010-04-15,875
2010-04-15,875
2010-04-15,875
2010-04-15,875
2010-04-15,875
2010-04-15,875
2010-04-15,875
2010-04-15,875
2010-04-15,867
2010-04-15,867
2010-04-15,867
2010-04-15,867
2010-04-15,867
2010-04-15,867
2010-04-15,867
2010-04-15,867
2010-04-15,867
2010-04-15,867
2010-04-15,867
2010-04-15,859
2010-04-15,859
2010-04-15,859
2010-04-15,859
2010-04-15,859
2010-04-15,859
2010-04-15,859
2010-04-15,859
2010-04-15,859
2010-04-15,859
2010-04-15,859
2010-04-15,859
2010-04-15,859
2010-04-15,859
2010-04-15,852
2010-04-15,852
2010-04-15,852
2010-04-15,852
2010-04-15,852
2010-04-15,852
2010-04-15,852
2010-04-15,852
2010-04-15,852
2010-04-15,852
2010-04-15,844
2010-04-15,844
2010-04-15,844
2010-04-15,844
2010-04-15,844
2010-04-15,844
2010-04-15,844
2010-04-15,837
